Ordine,Tipo,Lat,Lon,ID,id_t
20,I,38.201,13.2759,1,20I
20,F,38.2031,13.278,2,20F
21,I,38.2084,13.3288,3,21I
21,F,38.2068,13.3283,4,21F
22,I,38.1977,13.3354,5,22I
22,F,38.1973,13.3371,6,22F
23,I,38.1712,13.367,7,23I
23,F,38.1665,13.3691,8,23F
24,I,38.1125,13.3793,9,24I
24,F,38.0982,13.416,10,24F
25,I,38.0982,13.4157,11,25I
25,F,38.0987,13.4176,12,25F
26,I,38.0949,13.4445,13,26I
26,F,38.0956,13.4532,14,26F
27,I,38.1991,13.2754,15,27I
27,F,38.2006,13.2741,16,27F
28,I,38.2148,13.3228,17,28I
28,F,38.2166,13.233,18,28F
29,I,38.2059,13.3276,19,29I
29,F,38.2068,13.3282,20,29F
30,I,38.1915,13.3498,21,30I
30,F,38.1912,13.3549,22,30F
31,I,38.1662,13.6991,23,31I
31,F,38.1125,13.3793,24,31F
32,I,38.0982,13.4157,25,32I
32,F,38.0987,13.4176,26,32F
